bucket,rows,predicted,observed,gap
0,8127,1.7792030349017551e-10,0.0,-1.7792030349017551e-10
1,8127,1.7792030349017551e-10,0.0,-1.7792030349017551e-10
2,8127,1.7792030349017551e-10,0.0,-1.7792030349017551e-10
3,8127,1.7792030349017551e-10,0.0,-1.7792030349017551e-10
4,8127,1.7792030349017551e-10,0.0,-1.7792030349017551e-10
5,8127,0.0002499903866592132,0.00036913990402362494,0.00011914951736441176
6,8127,0.001814103121277377,0.0018456995201181247,3.159639884074759e-05
7,8127,0.004661583583656447,0.004060538944259874,-0.0006010446393965732
8,8127,0.0076433337393607675,0.006275378368401624,-0.0013679553709591433
9,8127,0.03649213893199918,0.03666789713301341,0.00017575820101423112
