feature,label,train_coverage,recent_coverage,in_model,excluded_because
weeks_since_nb_event,Weeks since the last attack next door,1.0,1.0,True,
weeks_since_event,Weeks since the last attack here,1.0,1.0,True,
hawkes_total,Total Hawkes intensity,1.0,1.0,True,
hawkes_background,Baseline rate for this LGA,1.0,1.0,True,
cal_month,Month,1.0,1.0,True,
cal_week_of_year,Week of the year,1.0,1.0,True,
n_neighbours,Number of adjacent LGAs,1.0,1.0,True,
area_sqkm,Size of the LGA,1.0,1.0,True,
hawkes_prob_any,Hawkes probability of any event in 7 days,1.0,1.0,True,
hawkes_expected_events,Hawkes expected events over the next 7 days,1.0,1.0,True,
cal_school_in_session,Schools in session,0.7825159914712153,0.6538461538461539,True,
hawkes_neighbour_share,Share of intensity arriving from neighbours,0.530949901654518,0.8654343072947724,True,
hawkes_neighbour,Contagion from attacks in adjacent LGAs,0.530949901654518,0.8654343072947724,True,
cal_dry_season,"Dry season, when forest corridors are passable",0.4136460554371002,0.3461538461538461,True,
actors_26w,Distinct armed actors active here or nearby,0.2672214784328633,0.3416815742397138,True,
cal_festival_within_horizon,Festival or public holiday within 7 days,0.2409381663113006,0.2307692307692307,True,
hawkes_self,Self-excitation from recent local attacks,0.2261340032947114,0.4524448419797257,True,
hist_rate,Long-run attack rate for this LGA,0.2261340032947114,0.4524448419797257,True,
hawkes_self_share,Share of intensity that is locally generated,0.2261340032947114,0.4524448419797257,True,
state_events_4w,Attacks across the state in the last month,0.1992997360925164,0.2257503478433711,True,
nb_events_12w,Attacks in adjacent LGAs in the last quarter,0.1604436290309251,0.1868912741005764,True,
own_events_52w,Attacks here in the last year,0.1053839330479386,0.1170244484197972,True,
own_fatalities_52w,Deaths here in the last year,0.0982297813259285,0.1103160405485986,True,
nb_events_4w,Attacks in adjacent LGAs in the last month,0.0794780251566089,0.0779666070363744,True,
state_ops_4w,Military operations across the state in the last month,0.0771612590425502,0.1397833432717153,True,
nb_fatalities_4w,Deaths in adjacent LGAs in the last month,0.0721778703382313,0.0698668256807791,True,
own_events_26w,Attacks here in the last half year,0.0690512002556431,0.0707115881534486,True,
nb_ops_12w,Military operations nearby in the last quarter,0.0631311879142493,0.129695885509839,True,
own_events_12w,Attacks here in the last quarter,0.0406659945014682,0.0380143112701252,True,
nb_ops_4w,Active military operation in an adjacent LGA,0.0403519501055079,0.0740906380441264,True,
own_fatalities_12w,Deaths here in the last quarter,0.0371178437821964,0.0344861856489763,True,
own_events_8w,Attacks here in the last 2 months,0.0301069403811507,0.0273305505863645,True,
nb_events_1w,Attacks in adjacent LGAs last week,0.0273273719993608,0.0223613595706618,True,
own_ops_12w,Military operations here in the last quarter,0.0247681856498239,0.0392566090240508,True,
own_events_4w,Attacks here in the last month,0.017445992628221,0.0147584973166368,True,
own_fatalities_4w,Deaths here in the last month,0.0157931273863241,0.0129198966408268,True,
own_ops_4w,Military operations here in the last month,0.0128152151755067,0.0187835420393559,True,
own_events_2w,Attacks here in the last 2 weeks,0.0097271119485628,0.0078513218048101,True,
own_events_1w,Attacks here last week,0.0052423375922161,0.0040747366328761,True,
chatter_volume_1w,Social chatter volume last week,0.0,0.0,False,constant
chatter_threat_1w,Peak threat score in chatter last week,0.0,0.0,False,constant
chatter_escalation,Escalating chatter volume against own baseline,0.0,0.0,False,constant
doc_mentions_4w,Reports naming this LGA in the last month,0.0,0.0,False,constant
doc_ransom_12w,Recent ransom payment reported nearby,0.0,0.0,False,constant
