max_depth,learning_rate,scale_pos_weight,min_child_weight,best_iteration,roc_auc,average_precision,recall_at_20,precision_at_20,recall_at_50
6,0.05,1.0,20.0,68,0.9108896932440175,0.067880078003841,0.3591042399865929,0.06826923076923076,0.5338151499916206
4,0.03,auto,5.0,21,0.9017952053387721,0.06358879703814964,0.35681665828724646,0.06826923076923076,0.5088319088319089
4,0.03,auto,20.0,21,0.9017461735934839,0.06330690965466657,0.35681665828724646,0.06826923076923076,0.5088319088319089
3,0.03,1.0,20.0,109,0.9019408206138207,0.0683240201637136,0.3546380090497737,0.0673076923076923,0.48508463214345565
3,0.05,1.0,5.0,11,0.8954363928284446,0.061064340240303286,0.3543112116641528,0.06634615384615385,0.48933299815652764
4,0.03,1.0,20.0,15,0.901889279369758,0.06700373361505561,0.3530040221216691,0.06634615384615383,0.48753561253561256
6,0.03,auto,20.0,28,0.9121332464060119,0.06526726582588369,0.3519146975029328,0.0673076923076923,0.5243003184179655
4,0.05,auto,5.0,10,0.9032754878851696,0.0627528805352451,0.3488981062510474,0.06538461538461539,0.5027316909669851
4,0.05,auto,20.0,10,0.9032596587390529,0.0627405886936237,0.3488981062510474,0.06538461538461539,0.5027316909669851
4,0.03,1.0,5.0,36,0.9024804271964806,0.06797384537432873,0.3461412770236299,0.06538461538461537,0.48688201776437073
3,0.05,1.0,20.0,14,0.8951616348856877,0.06947120698238125,0.34537874979051447,0.06634615384615383,0.4868820177643708
6,0.05,auto,20.0,35,0.9160557860290668,0.0647733519045062,0.34483408748114625,0.06538461538461539,0.5193983576336518
3,0.05,auto,5.0,27,0.8993497953021155,0.06017099270126446,0.34377828054298637,0.06442307692307692,0.5164571811630636
3,0.05,auto,20.0,27,0.8993497953021155,0.06017099270126446,0.34377828054298637,0.06442307692307692,0.5164571811630636
6,0.03,auto,5.0,28,0.911762612740841,0.06285354300557458,0.343417965476789,0.06538461538461537,0.5282218870454164
3,0.03,1.0,5.0,113,0.9019477699950427,0.0681499122435887,0.34156611362493716,0.0673076923076923,0.49325456678397855
6,0.03,1.0,20.0,9,0.9002409247515853,0.06397266364663852,0.33557482822188706,0.06442307692307692,0.49145718116306353
3,0.03,auto,5.0,81,0.9027455975669959,0.06025217568097105,0.3351558572146807,0.06346153846153844,0.5105748282218872
3,0.03,auto,20.0,81,0.9027455975669959,0.06025217568097105,0.3351558572146807,0.06346153846153844,0.5105748282218872
4,0.05,1.0,20.0,6,0.8957152689230365,0.0643256865637326,0.33083626613038375,0.062499999999999986,0.48753561253561256
6,0.05,auto,5.0,35,0.9157343128014296,0.06579698472069664,0.3287120831238478,0.06346153846153846,0.5350846321434557
6,0.05,1.0,5.0,17,0.9091746760430119,0.06532748733287132,0.32816742081447964,0.06346153846153844,0.5019146975029328
4,0.05,1.0,5.0,101,0.9064310860750358,0.06544988636451722,0.3267512988101223,0.06538461538461537,0.5125733199262611
6,0.03,1.0,5.0,27,0.9066416265876118,0.07044549080907332,0.3216314731020613,0.06249999999999999,0.5266256075079605
